date,production
1939-02-01,0.025500000000000078
1939-03-01,0.07629999999999981
1939-04-01,0.025399999999999867
1939-05-01,0.0
1939-06-01,0.050899999999999945
1939-07-01,0.0
1939-08-01,0.05090000000000039
1939-09-01,0.10179999999999989
1939-10-01,0.0
1939-11-01,0.025500000000000078
1939-12-01,0.0
1940-01-01,0.025399999999999867
1940-02-01,0.050899999999999945
1940-03-01,0.025500000000000078
1940-04-01,0.0
1940-05-01,0.025399999999999867
1940-06-01,0.050899999999999945
1940-07-01,0.0
1940-08-01,0.050899999999999945
1940-09-01,0.05090000000000039
1940-10-01,0.025399999999999867
1940-11-01,0.10180000000000033
1940-12-01,0.0
1941-01-01,0.02549999999999919
1941-02-01,0.05090000000000039
1941-03-01,0.05090000000000039
1941-04-01,0.0508999999999995
1941-05-01,0.02540000000000031
1941-06-01,0.07639999999999958
1941-07-01,0.05080000000000062
1941-08-01,0.0508999999999995
1941-09-01,0.025500000000000078
1941-10-01,0.02540000000000031
1941-11-01,0.0508999999999995
1941-12-01,0.10179999999999989
1942-01-01,0.05090000000000039
1942-02-01,0.0508999999999995
1942-03-01,0.025500000000000078
1942-04-01,0.0
1942-05-01,0.0
1942-06-01,0.02540000000000031
1942-07-01,0.15270000000000028
1942-08-01,0.025399999999999423
1942-09-01,0.025500000000000078
1942-10-01,0.0
1942-11-01,0.07629999999999981
1942-12-01,0.07640000000000047
1943-01-01,-0.05090000000000039
1943-02-01,0.0763000000000007
1943-03-01,0.025500000000000078
1943-04-01,0.07629999999999981
1943-05-01,0.025500000000000078
1943-06-01,0.10170000000000012
1943-07-01,0.0508999999999995
1943-08-01,0.025500000000000078
1943-09-01,0.10179999999999989
1943-10-01,0.0
1943-11-01,0.07629999999999981
1943-12-01,0.0
1944-01-01,-0.0508999999999995
1944-02-01,0.07639999999999958
1944-03-01,0.10179999999999989
1944-04-01,0.02540000000000031
1944-05-01,0.0
1944-06-01,0.0
1944-07-01,-0.05090000000000039
1944-08-01,0.025500000000000078
1944-09-01,-0.025500000000000078
1944-10-01,-0.0508999999999995
1944-11-01,0.0508999999999995
1944-12-01,0.025500000000000078
1945-01-01,0.10170000000000012
1945-02-01,0.0
1945-03-01,-0.025399999999999423
1945-04-01,0.0
1945-05-01,0.0508999999999995
1945-06-01,0.07629999999999981
1945-07-01,-0.025399999999999423
1945-08-01,-0.10179999999999989
1945-09-01,-0.10180000000000078
1945-10-01,-0.0508999999999995
1945-11-01,0.0508999999999995
1945-12-01,0.05090000000000039
1946-01-01,0.0
1946-02-01,0.0
1946-03-01,0.0
1946-04-01,0.10179999999999989
1946-05-01,0.05090000000000039
1946-06-01,0.025399999999999423
1946-07-01,0.12729999999999997
1946-08-01,0.10180000000000078
1946-09-01,0.07629999999999981
1946-10-01,0.07629999999999981
1946-11-01,0.025500000000000078
1946-12-01,0.025399999999999423
1947-01-01,0.17820000000000036
1947-02-01,-0.12729999999999997
1947-03-01,-0.05090000000000039
1947-04-01,0.0
