date,production
1940-02-01,0.025399999999999867
1940-03-01,-0.050799999999999734
1940-04-01,-0.025399999999999867
1940-05-01,0.025399999999999867
1940-06-01,0.0
1940-07-01,0.0
1940-08-01,-4.440892098500626e-16
1940-09-01,-0.0508999999999995
1940-10-01,0.025399999999999867
1940-11-01,0.07630000000000026
1940-12-01,0.0
1941-01-01,9.999999999932285e-05
1941-02-01,4.440892098500626e-16
1941-03-01,0.02540000000000031
1941-04-01,0.0508999999999995
1941-05-01,4.440892098500626e-16
1941-06-01,0.025499999999999634
1941-07-01,0.05080000000000062
1941-08-01,-4.440892098500626e-16
1941-09-01,-0.02540000000000031
1941-10-01,4.440892098500626e-16
1941-11-01,-0.05090000000000083
1941-12-01,0.10179999999999989
1942-01-01,0.0254000000000012
1942-02-01,-8.881784197001252e-16
1942-03-01,-0.02540000000000031
1942-04-01,-0.0508999999999995
1942-05-01,-0.02540000000000031
1942-06-01,-0.05099999999999927
1942-07-01,0.10189999999999966
1942-08-01,-0.025500000000000078
1942-09-01,0.0
1942-10-01,-0.02540000000000031
1942-11-01,0.02540000000000031
1942-12-01,-0.025399999999999423
1943-01-01,-0.10180000000000078
1943-02-01,0.0254000000000012
1943-03-01,0.0
1943-04-01,0.07629999999999981
1943-05-01,0.025500000000000078
1943-06-01,0.07629999999999981
1943-07-01,-0.10180000000000078
1943-08-01,0.00010000000000065512
1943-09-01,0.07629999999999981
1943-10-01,0.0
1943-11-01,0.0
1943-12-01,-0.07640000000000047
1944-01-01,8.881784197001252e-16
1944-02-01,9.999999999887876e-05
1944-03-01,0.07629999999999981
1944-04-01,-0.0508999999999995
1944-05-01,-0.025500000000000078
1944-06-01,-0.10170000000000012
1944-07-01,-0.10179999999999989
1944-08-01,0.0
1944-09-01,-0.12729999999999997
1944-10-01,-0.0508999999999995
1944-11-01,-0.02540000000000031
1944-12-01,0.025500000000000078
1945-01-01,0.15259999999999962
1945-02-01,-0.07639999999999958
1945-03-01,-0.1271999999999993
1945-04-01,-0.02540000000000031
1945-05-01,0.0508999999999995
1945-06-01,0.07629999999999981
1945-07-01,0.025500000000000966
1945-08-01,-0.12729999999999997
1945-09-01,-0.0763000000000007
1945-10-01,0.0
1945-11-01,0.0
1945-12-01,0.02540000000000031
1946-01-01,-0.10170000000000012
1946-02-01,0.0
1946-03-01,0.025399999999999423
1946-04-01,0.10179999999999989
1946-05-01,8.881784197001252e-16
1946-06-01,-0.05090000000000039
1946-07-01,0.1526999999999994
1946-08-01,0.20360000000000067
1946-09-01,0.1781000000000006
1946-10-01,0.1271999999999993
1946-11-01,-0.025399999999999423
1946-12-01,-0.025500000000000966
1947-01-01,0.17820000000000036
1947-02-01,-0.12729999999999997
1947-03-01,-0.05090000000000039
1947-04-01,-0.10179999999999989
1947-05-01,-0.07629999999999981
1947-06-01,-0.025399999999999423
1947-07-01,-0.12729999999999997
1947-08-01,0.07629999999999892
1947-09-01,0.051000000000000156
1947-10-01,-0.0508999999999995
1947-11-01,0.0508999999999995
1947-12-01,0.30540000000000056
1948-01-01,0.17799999999999994
1948-02-01,-0.050799999999999734
1948-03-01,0.07629999999999981
1948-04-01,-0.15259999999999962
1948-05-01,-0.12730000000000086
1948-06-01,0.05090000000000039
1948-07-01,0.0508999999999995
1948-08-01,8.881784197001252e-16
1948-09-01,-0.00010000000000065512
1948-10-01,0.051000000000000156
1948-11-01,0.02540000000000031
1948-12-01,-0.025500000000000078
1949-01-01,-0.17799999999999994
1949-02-01,-0.00010000000000065512
1949-03-01,-0.1271999999999993
1949-04-01,-0.025500000000000078
1949-05-01,0.0
1949-06-01,0.0
1949-07-01,0.05090000000000039
1949-08-01,-8.881784197001252e-16
1949-09-01,-0.050799999999998846
1949-10-01,-0.12730000000000086
1949-11-01,0.10179999999999989
1949-12-01,0.15270000000000028
1950-01-01,0.2289999999999992
1950-02-01,-0.025399999999999423
1950-03-01,0.15270000000000028
1950-04-01,0.07629999999999892
1950-05-01,0.12730000000000086
1950-06-01,0.025399999999999423
1950-07-01,-0.07629999999999892
1950-08-01,0.02540000000000031
1950-09-01,0.0508999999999995
1950-10-01,0.20359999999999978
1950-11-01,-0.07639999999999958
1950-12-01,-0.1272000000000002
1951-01-01,0.15259999999999962
1951-02-01,0.051000000000000156
1951-03-01,-0.05090000000000039
1951-04-01,0.07630000000000159
1951-05-01,-0.17820000000000213
1951-06-01,0.05100000000000193
1951-07-01,0.025399999999997647
1951-08-01,0.025500000000000966
1951-09-01,-0.025500000000000966
1951-10-01,-0.22909999999999897
1951-11-01,0.07639999999999958
1951-12-01,-0.025399999999999423
1952-01-01,-0.025399999999999423
1952-02-01,-0.10190000000000055
1952-03-01,-0.07629999999999981
1952-04-01,-0.2544000000000004
1952-05-01,1.7763568394002505e-15
1952-06-01,-0.05100000000000193
1952-07-01,0.12730000000000175
1952-08-01,0.12719999999999843
1952-09-01,0.10180000000000078
1952-10-01,0.05090000000000039
1952-11-01,-0.10180000000000078
1952-12-01,0.101799999999999
1953-01-01,-0.12729999999999997
1953-02-01,-0.12719999999999843
1953-03-01,0.1526999999999994
1953-04-01,0.20350000000000001
1953-05-01,0.05099999999999838
1953-06-01,0.07630000000000159
1953-07-01,-1.7763568394002505e-15
1953-08-01,-0.17809999999999881
1953-09-01,-0.20359999999999978
1953-10-01,-0.07629999999999981
1953-11-01,-0.1781000000000006
1953-12-01,-9.999999999799059e-05
1954-01-01,0.27999999999999936
1954-02-01,0.025399999999999423
1954-03-01,-0.1272000000000002
1954-04-01,-0.07629999999999981
